"listing_id","sale_price","usable_area","price_per_m2","suburb"
"2702953181","450000","70","6428,57","Morretes"
"2722922573","740000","119","6218,49","Morretes"
"2764381321","1500000","113","13274,34","Andorinha"
"2732243218","424000","40","10600","Morretes"
"2751093115","1599000","139","11503,6","Castelo Branco"
"2669591094","695000","69","10072,46","Tabuleiro dos Oliveiras"
"2760625614","4500000","210","21428,57","Centro"
"2682160806","2000000","164","12195,12","Andorinha"
"2763191814","1100000","83","13253,01","Andorinha"
"2660284823","550000","76","7236,84","Morretes"
"2760221735","695000","70","9928,57","Centro"
"2693494921","992860","60","16547,67","Morretes"
"2742973857","700000","70","10000","Morretes"
"2569300960","1600000","118","13559,32","Centro"
"2717835301","5200000","300","17333,33","Sertão do Trombudo"
"2511793546","1675000","108","15509,26","Castelo Branco"
"2713980062","575712","65","8857,11","Morretes"
"2637821463","1050000","80","13125","Alto São Bento"
"2577005008","2500000","170","14705,88","Meia Praia"
"2699373478","3090000","126","24523,81","Meia Praia"
"2763088929","1290000","85","15176,47","Centro"
"2764004443","3800000","179","21229,05","Meia Praia"
"2764758939","930000","70","13285,71","Varzea"
"2718873746","1188500","109","10903,67","Meia Praia"
"2645631157","3336000","191","17465,97","Centro"
"2754168827","424000","41","10341,46","Morretes"
"2560637502","590000","85","6941,18","Morretes"
"2644154072","1300000","142","9154,93","Meia Praia"
"2743253113","2577000","233","11060,09","Meia Praia"
"2592727232","1590000","123","12926,83","Andorinha"
"2759113422","699000","455","1536,26","Meia Praia"
"2636059524","6158563","240","25660,68","Meia Praia"
"2560637699","710000","70","10142,86","Morretes"
"2765293638","1695000","120","14125","Meia Praia"
"2594346472","1250000","122","10245,9","Andorinha"
"2706129695","550000","70","7857,14","Morretes"
"2764345127","1890000","115","16434,78","Meia Praia"
"2736815021","641186","69","9292,55","Morretes"
"2573337525","640000","70","9142,86","Morretes"
"2766853121","995000","93","10698,92","Meia Praia"
"2730380529","2000000","350","5714,29","Ilhota"
"2667707398","1526566","120","12721,38","Andorinha"
"2645218394","3899000","163","23920,25","Morretes"
"2710044482","610000","65","9384,62","Morretes"
"2764974911","850000","119","7142,86","Andorinha"
"2560637376","550000","74","7432,43","Morretes"
"2658141300","700000","70","10000","Morretes"
"2621870421","1680000","123","13658,54","Andorinha"
"2758555853","3995000","180","22194,44","Meia Praia"
"2764631265","1472834","122","12072,41","Andorinha"
"2609060685","3500000","1531","2286,09","Meia Praia"
"2728076694","735000","68","10808,82","Morretes"
"2728077652","450000","70","6428,57","Morretes"
"2677800233","1695000","118","14364,41","Centro"
"2759130328","699000","455","1536,26","Meia Praia"
"2564210111","797000","70","11385,71","Morretes"
"2617731388","9800000","180","54444,44","Meia Praia"
"2560637300","550000","90","6111,11","Morretes"
"2763499021","649000","69","9405,8","Tabuleiro dos Oliveiras"
"2765063106","5997000","343","17483,97","Meia Praia"
"2510252673","620000","70","8857,14","Varzea"
"2630293615","1225275","112","10939,96","Andorinha"
"2729778330","1250000","102","12254,9","Meia Praia"
"2763649133","829000","100","8290","Morretes"
"2560637225","550000","90","6111,11","Morretes"
"2596028441","3780000","187","20213,9","Meia Praia"
"2617107696","620000","64","9687,5","Morretes"
"2650232475","1650000","128","12890,62","Meia Praia"
"2715747022","954000","85","11223,53","Andorinha"
"2560637575","550000","90","6111,11","Morretes"
"2705720551","515000","66","7803,03","Morretes"
"2560637262","480002","70","6857,17","Morretes"
"2641211985","790000","70","11285,71","Tabuleiro dos Oliveiras"
"2723133842","1200000","103","11650,49","Andorinha"
"2702183983","799000","76","10513,16","Castelo Branco"
"2595144582","1500000","180","8333,33","Morretes"
"2718030844","1150000","92","12500","Castelo Branco"
"2761879718","1690000","119","14201,68","Meia Praia"
"2720051287","951000","70","13585,71","Meia Praia"
"2673397678","699000","95","7357,89","Morretes"
"2729166624","581000","69","8420,29","Alto São Bento"
"2560636988","590001","85","6941,19","Morretes"
"2760094110","695000","70","9928,57","Centro"
"2764743233","697131","67","10404,94","Morretes"
"2763091014","560000","43","13023,26","Morretes"
"2560637037","580000","80","7250","Morretes"
"2590052907","1150000","130","8846,15",""
"2561990856","720000","115","6260,87","Morretes"
"2747202005","980000","102","9607,84","Andorinha"
"2737654816","1300000","135","9629,63","Andorinha"
"2749359028","890000","81","10987,65","Meia Praia"
"2592567932","4800000","362","13259,67","Canto da Praia"
"2738142652","420000","69","6086,96","Alto São Bento"
"2647769634","4600000","188","24468,09","Meia Praia"
"2599020455","1190000","113","10530,97","Morretes"
"2766852232","1529800","120","12748,33","Andorinha"
"2539510590","2100000","151","13907,28","Meia Praia"
"2654353538","1600000","128","12500","Centro"
