"owner_id","qtd_linhas","linhas_identical","snapshot_dates"
"201616042","4","False","2025-01-13 02:11:37.000; 2025-01-13 02:12:35.000; 2025-01-13 02:14:45.000; 2025-01-13 02:36:06.000"
"665573189","2","False","2025-01-13 02:11:40.000; 2025-01-13 02:36:11.000"
"330683989","5","False","2025-01-13 02:01:49.000; 2025-01-13 02:02:32.000; 2025-01-13 02:11:41.000; 2025-01-13 02:28:54.000; 2025-01-13 02:40:38.000"
"371957461","3","False","2025-01-13 02:06:15.000; 2025-01-13 02:11:42.000; 2025-01-13 02:31:05.000"
"493784281","6","False","2025-01-13 01:59:12.000; 2025-01-13 02:11:42.000; 2025-01-13 02:26:21.000; 2025-01-13 02:29:55.000; 2025-01-13 02:31:20.000; 2025-01-13 02:36:41.000"
"57580549","3","False","2025-01-13 02:11:43.000; 2025-01-13 02:22:03.000; 2025-01-13 02:24:02.000"
"663373020","3","False","2025-01-13 02:07:38.000; 2025-01-13 02:08:47.000; 2025-01-13 02:11:43.000"
"84924129","2","False","2025-01-13 02:11:44.000; 2025-01-13 02:20:48.000"
"475370954","4","False","2025-01-13 01:55:33.000; 2025-01-13 02:11:48.000; 2025-01-13 02:17:05.000; 2025-01-13 02:46:22.000"
"225008032","2","False","2025-01-13 02:11:50.000; 2025-01-13 02:49:23.000"
"542484669","10","False","2025-01-13 01:56:49.000; 2025-01-13 02:00:30.000; 2025-01-13 02:02:22.000; 2025-01-13 02:09:13.000; 2025-01-13 02:11:54.000; 2025-01-13 02:24:21.000; 2025-01-13 02:26:04.000; 2025-01-13 02:34:54.000; 2025-01-13 02:39:09.000; 2025-01-13 02:46:24.000"
"231291077","2","False","2025-01-13 02:04:59.000; 2025-01-13 02:11:54.000"
"310441201","8","False","2025-01-13 02:00:18.000; 2025-01-13 02:11:55.000; 2025-01-13 02:12:29.000; 2025-01-13 02:20:01.000; 2025-01-13 02:35:51.000; 2025-01-13 02:39:57.000; 2025-01-13 02:43:20.000; 2025-01-13 02:45:09.000"
"437298914","2","False","2025-01-13 02:11:57.000; 2025-01-13 02:24:39.000"
"654667093","2","False","2025-01-13 02:11:59.000; 2025-01-13 02:17:20.000"
"585855067","2","False","2025-01-13 02:12:02.000; 2025-01-13 02:23:29.000"
"233813969","2","False","2025-01-13 01:56:29.000; 2025-01-13 02:48:21.000"
"530648724","2","False","2025-01-13 02:22:46.000; 2025-01-13 02:48:25.000"
"456516350","2","False","2025-01-13 02:48:32.000; 2025-01-13 02:58:40.000"
"269489781","3","False","2025-01-13 02:41:41.000; 2025-01-13 02:42:20.000; 2025-01-13 02:48:34.000"
"169664266","2","False","2025-01-13 02:31:59.000; 2025-01-13 02:48:38.000"
"422065139","2","False","2025-01-13 02:05:50.000; 2025-01-13 02:48:40.000"
"534536593","4","False","2025-01-13 01:55:02.000; 2025-01-13 02:41:39.000; 2025-01-13 02:48:49.000; 2025-01-13 02:55:28.000"
"430294957","3","False","2025-01-13 02:39:09.000; 2025-01-13 02:48:49.000; 2025-01-13 02:49:32.000"
"367363772","3","False","2025-01-13 02:41:11.000; 2025-01-13 02:46:46.000; 2025-01-13 02:48:52.000"
"243494106","5","False","2025-01-13 02:05:23.000; 2025-01-13 02:26:31.000; 2025-01-13 02:28:11.000; 2025-01-13 02:48:54.000; 2025-01-13 02:49:21.000"
"226154699","2","False","2025-01-13 02:02:03.000; 2025-01-13 02:51:15.000"
"378227749","4","False","2025-01-13 01:59:08.000; 2025-01-13 02:51:47.000; 2025-01-13 02:58:06.000; 2025-01-13 02:58:48.000"
"112570505","2","False","2025-01-13 02:52:09.000; 2025-01-13 02:56:37.000"
"304829392","3","False","2025-01-13 02:28:01.000; 2025-01-13 02:44:36.000; 2025-01-13 02:52:10.000"
"56904992","3","False","2025-01-13 02:12:25.000; 2025-01-13 02:15:45.000; 2025-01-13 02:19:15.000"
"272771814","22","False","2025-01-13 01:54:50.000; 2025-01-13 01:57:26.000; 2025-01-13 02:01:10.000; 2025-01-13 02:03:38.000; 2025-01-13 02:04:12.000; 2025-01-13 02:05:58.000; 2025-01-13 02:06:24.000; 2025-01-13 02:06:28.000; 2025-01-13 02:08:16.000; 2025-01-13 02:12:35.000; 2025-01-13 02:17:31.000; 2025-01-13 02:21:10.000; 2025-01-13 02:22:14.000; 2025-01-13 02:25:01.000; 2025-01-13 02:32:14.000; 2025-01-13 02:36:21.000; 2025-01-13 02:38:01.000; 2025-01-13 02:39:28.000; 2025-01-13 02:43:07.000; 2025-01-13 02:45:00.000; 2025-01-13 02:49:42.000; 2025-01-13 02:58:22.000"
"268665681","2","False","2025-01-13 02:12:35.000; 2025-01-13 02:18:51.000"
